"expertnb","mode","values","logHR values","p","weight","logHR","best.fit","LHR mean","LHR sd","mean","sd","baseline"
1,"UnconditionalG2",12,-0.764,0,0,NA,"Normal",-0.3288,0.1071,17.9999,0.7732,24
1,"UnconditionalG2",15,-0.5239,0,0,NA,"Normal",-0.3288,0.1071,17.9999,0.7732,24
1,"UnconditionalG2",18,-0.3242,0.5,0.5,-0.42,"Normal",-0.3288,0.1071,17.9999,0.7732,24
1,"UnconditionalG2",21,-0.1521,1,0.5,-0.2352,"Normal",-0.3288,0.1071,17.9999,0.7732,24
1,"UnconditionalG2",24,0,1,0,NA,"Normal",-0.3288,0.1071,17.9999,0.7732,24
1,"UnconditionalG2",27,0.1369,1,0,NA,"Normal",-0.3288,0.1071,17.9999,0.7732,24
1,"UnconditionalG2",30,0.2621,1,0,NA,"Normal",-0.3288,0.1071,17.9999,0.7732,24
1,"UnconditionalG2",33,0.3779,1,0,NA,"Normal",-0.3288,0.1071,17.9999,0.7732,24
1,"UnconditionalG2",36,0.4862,1,0,NA,"Normal",-0.3288,0.1071,17.9999,0.7732,24
1,"UnconditionalG2",39,0.5884,1,0,NA,"Normal",-0.3288,0.1071,17.9999,0.7732,24
